,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Physical exposure to earthquake MMI VI (absolute),Physical exposure to earthquake MMI VIII (absolute),Physical exposure to earthquake (absolute),Annual Expected Exposed People to River Floods,Annual Expected Exposed People to Tsunamis,Annual Expected Exposed People to Cyclone's Wind SS1,Annual Expected Exposed People to Cyclone's Wind SS3,Annual Expected Exposed People to Cyclone's Wind (absolute),Physical exposure to coastal flood (absolute),People affected by droughts (absolute),Physical exposure to earthquake MMI VI (relative),Physical exposure to earthquake MMI VIII (relative),Physical exposure to river flood (relative),Physical exposure to tsunami (relative),Physical exposure to tropical cyclone of Saffir-Simpson category 1 (relative),Physical exposure to tropical cyclone of Saffir-Simpson category 3 (relative),Physical exposure to coastal flood (relative),People affected by droughts (relative),Physical exposure to earthquake MMI VI (relative),Physical exposure to earthquake MMI VIII (relative),Physical exposure to earthquake (relative),Physical exposure to river flood (relative),Physical exposure to tsunami (relative),Physical exposure to tropical cyclone of Saffir-Simpson category 1 (relative),Physical exposure to tropical cyclone of Saffir-Simpson category 3 (relative),Physical exposure to tropical cyclone wind (relative),Physical exposure to coastal flood (relative),People affected by droughts (relative),Frequency of Drought events,Physical exposure to earthquake MMI VI,Physical exposure to earthquake MMI VIII,Physical exposure to tropical cyclone of Saffir-Simpson category 1,Physical exposure to tropical cyclone of Saffir-Simpson category 3,Physical exposure to tropical cyclone wind,People affected by droughts,Physical exposure to earthquake ,Physical exposure to river flood,Physical exposure to tsunami,Physical exposure to tropical cyclone,Physical exposure to coastal flood,People affected by droughts and Frequency of events,Agriculture Droughts probability,Droughts probability and historical impact,Population exposed to CCHF (absolute),Population exposed to CCHF (relative,Population exposed to CCHF (relative),Physical exposure to CCHF,Population exposed to EDV (absolute),Population exposed to EDV (relative),Population exposed to EDV (relative),Physical exposure to EDV,Population exposed to Lassa Fever (absolute),Population exposed to Lassa Fever (relative),Population exposed to Lassa Fever (relative),Physical exposure to Lassa Fever,Population exposed to MVD (absolute),Population exposed to MVD (relative),Population exposed to MVD (relative),Physical exposure to MVD,Physical exposure to zoonones,Populations at risk of malaria (absolute),Populations at risk of malaria (relative),Populations at risk of malaria (relative),Populations at risk of malaria,Population exposed to Zika (absolute),Population exposed to Zika (relative),Population exposed to Zika (relative),Population exposed to Zika,Population at Risk to Aedes (absolute),Population at Risk to Aedes (relative),Population at Risk to Aedes (relative),Population at Risk to Aedes,Population exposed to Dengue (absolute),Population exposed to Dengue (relative),Population exposed to Dengue (relative),Population exposed to Dengue,Physical exposure to vectorborne,Sanitation,Drinking water,Hygiene,WaSH,Population density,Urban population growth,Population living in urban areas,Household size,Population,P2P,Population living in slums (% of urban population),Children under 5,Population,People practicing open defecation,WaSH,Number of vets per capita,Number of vets,IHR capacity score: Food safety,Food,Waterborne - Foodborne,Physical exposure to epidemics,INFORM Natural Hazard,Projected Conflict Probability,Current Conflict Intensity,INFORM Human Hazard,,
Australia,AUS,0.0,0.1,0.1,5.9,6.0,7.6,5.1,6.5,7.1,10.0,0.00%,0.00%,0.2004%,0.00%,0.41%,0.00%,0.09%,0.75%,0.0,0.0,0.0,4.8,5.4,0.5,0.0,0.3,5.2,2.5,4.8,0.0,0.1,4.1,2.6,3.4,8.0,0.1,5.4,5.7,4.1,6.2,6.4,5.8,6.1,0.0,0.00%,0.0,0.0,x,x,x,x,x,x,x,x,x,x,x,x,0.0,0.0,0.0%,0.0,0.0,7.0,2.85%,0.3,4.4,8.1,18.70%,1.9,5.8,7.6,7.36%,0.7,5.1,4.1,0.0,0.0,x,0.0,1.7,5.0,8.7,1.4,4.2,2.8,0.0,0.5,2.9,0.0,0.0,0.02%,8.4,0.0,4.2,2.4,2.4,4.6,0.1,0.0,0.1,,
Austria,AUT,6.6,0.1,4.1,6.6,0.0,0.0,0.0,0.0,0.0,0.0,0.12%,0.00%,1.1857%,0.00%,0.00%,0.00%,0.00%,0.00%,6.0,0.0,3.6,7.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.3,0.1,0.0,0.0,0.0,0.0,3.9,7.2,0.0,0.0,0.0,0.0,3.3,1.7,3.4,0.03%,0.0,1.9,x,x,x,x,x,x,x,x,x,x,x,x,1.9,0.0,0.0%,0.0,0.0,0.0,0.00%,0.0,0.0,0.0,0.00%,0.0,0.0,0.0,0.00%,0.0,0.0,0.0,0.0,0.0,x,0.0,6.8,2.9,6.0,0.7,4.1,2.7,0.0,0.0,2.7,0.0,0.0,0.02%,7.8,0.0,3.9,2.2,1.8,2.5,0.1,0.0,0.1,,
Azerbaijan,AZE,7.5,7.4,7.5,6.2,0.0,0.0,0.0,0.0,0.0,0.0,0.21%,0.06%,0.6809%,0.00%,0.00%,0.00%,0.00%,0.00%,10.0,2.9,8.1,6.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.8,5.2,0.0,0.0,0.0,0.0,7.8,6.6,0.0,0.0,0.0,0.5,10.0,5.3,8.5,87.71%,9.7,9.2,x,x,x,x,x,x,x,x,x,x,x,x,9.2,0.0,0.0%,0.0,0.0,0.0,0.00%,0.0,0.0,2.8,0.01%,0.0,1.5,5.1,0.38%,0.0,2.9,1.2,0.4,0.4,1.1,0.6,7.0,0.8,5.8,6.4,5.0,3.5,x,0.9,4.2,0.0,0.5,0.03%,7.2,2.0,4.6,3.1,5.3,4.3,9.4,7.6,8.7,,
Bahamas,BHS,0.1,0.1,0.1,0.0,0.0,6.3,7.6,7.0,4.6,0.0,0.00%,0.00%,0.0000%,0.00%,7.40%,1.40%,0.46%,0.00%,0.0,0.0,0.0,0.0,0.0,8.2,7.0,7.7,7.2,0.0,0.0,0.1,0.1,7.3,7.3,7.3,0.0,0.1,0.0,0.0,7.4,6.1,0.0,3.3,1.7,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,0.0,0.0%,0.0,0.0,5.8,28.71%,3.2,4.6,6.4,72.38%,7.2,6.8,6.3,58.12%,5.8,6.1,4.8,0.6,0.2,x,0.4,5.4,1.6,8.4,3.5,4.7,3.3,x,0.3,3.8,0.1,0.3,0.02%,7.7,2.0,4.9,3.0,3.7,3.3,0.1,0.0,0.1,,
Bahrain,BHR,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,4.8,0.0,0.00%,0.00%,0.0000%,0.00%,0.00%,0.00%,0.16%,0.00%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,5.3,0.0,x,0.0,0.0,0.00%,0.0,0.0,x,x,x,x,x,x,x,x,x,x,x,x,0.0,0.0,0.0%,0.0,0.0,0.0,0.00%,0.0,0.0,7.4,93.97%,9.4,8.6,6.8,36.22%,3.6,5.4,4.6,0.0,0.0,x,0.0,10.0,2.1,9.0,x,7.0,4.7,x,0.6,5.4,0.0,0.0,0.01%,9.1,x,9.1,4.8,3.8,1.6,0.4,0.0,0.2,,
Bangladesh,BGD,10.0,9.4,9.7,10.0,9.0,10.0,10.0,10.0,10.0,10.0,0.21%,0.02%,3.7992%,0.00%,1.50%,0.28%,0.32%,0.08%,10.0,1.0,7.8,9.7,6.7,1.7,1.4,1.6,6.7,0.3,1.9,10.0,5.2,5.9,5.7,5.8,7.6,8.9,9.9,8.1,7.9,8.9,4.8,4.2,4.5,9.8,44.53%,4.9,8.3,x,x,x,x,x,x,x,x,x,x,x,x,8.3,9.0,10.8%,1.1,6.5,10.0,84.45%,9.4,9.7,10.0,98.82%,9.9,10.0,10.0,98.80%,9.9,10.0,9.4,4.5,0.3,3.8,2.9,10.0,5.9,4.0,5.7,6.4,5.2,5.7,3.1,5.7,0.0,2.2,0.02%,7.8,4.0,5.9,4.6,7.4,8.3,3.9,3.1,3.5,,
Barbados,BRB,3.0,0.1,1.7,0.0,1.4,6.2,7.3,6.8,0.4,0.0,0.20%,0.00%,0.0000%,0.00%,9.90%,1.40%,0.01%,0.00%,10.0,0.0,7.6,0.0,5.4,10.0,7.0,9.0,2.5,0.0,1.0,6.5,0.1,8.1,7.2,7.7,0.0,5.4,0.0,3.7,8.1,1.5,0.5,x,0.5,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,0.0,0.0%,0.0,0.0,6.0,53.76%,6.0,6.0,6.3,89.37%,8.9,7.8,6.2,81.62%,8.2,7.3,5.9,0.2,0.2,x,0.2,9.4,0.9,3.1,2.1,3.9,2.7,x,0.4,3.2,0.3,0.2,0.00%,9.6,2.0,5.8,3.1,4.1,3.9,0.0,0.0,0.0,,
Belarus,BLR,0.1,0.1,0.1,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.00%,0.00%,0.4029%,0.00%,0.00%,0.00%,0.00%,0.00%,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.1,5.8,0.0,0.0,0.0,0.0,4.2,2.1,7.1,9.16%,1.0,4.7,x,x,x,x,x,x,x,x,x,x,x,x,4.7,0.0,0.0%,0.0,0.0,0.0,0.00%,0.0,0.0,0.0,0.00%,0.0,0.0,0.0,0.00%,0.0,0.0,0.0,0.0,0.1,x,0.1,5.5,0.0,8.1,0.8,3.6,2.4,0.3,0.0,2.5,0.0,0.0,0.14%,0.0,0.0,0.0,0.8,2.2,1.7,0.1,0.0,0.1,,
Belgium,BEL,6.3,0.1,3.8,6.0,0.0,0.0,0.0,0.0,8.0,0.0,0.07%,0.00%,0.5253%,0.00%,0.00%,0.00%,0.51%,0.00%,3.5,0.0,1.9,6.4,0.0,0.0,0.0,0.0,7.3,0.0,0.0,4.9,0.1,0.0,0.0,0.0,0.0,2.9,6.2,0.0,0.0,7.7,0.0,2.5,1.3,0.0,0.00%,0.0,0.0,x,x,x,x,x,x,x,x,x,x,x,x,0.0,0.0,0.0%,0.0,0.0,0.0,0.00%,0.0,0.0,0.0,0.00%,0.0,0.0,0.0,0.00%,0.0,0.0,0.0,0.1,0.0,x,0.1,8.6,2.4,9.8,0.9,5.4,3.6,0.0,0.0,3.6,0.0,0.0,0.05%,4.7,0.0,2.4,2.0,1.5,3.4,0.3,0.9,0.6,,
Belize,BLZ,2.5,0.0,1.3,0.9,1.1,5.5,7.0,6.3,4.5,0.0,0.09%,0.00%,0.0860%,0.00%,3.29%,0.60%,0.43%,0.00%,4.7,0.0,2.7,3.4,4.6,3.7,3.0,3.4,7.1,0.0,0.0,3.6,0.0,4.6,5.0,4.8,0.0,2.0,2.2,3.0,5.0,6.0,0.0,4.2,2.1,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,0.0,0.0%,0.0,0.0,6.4,69.51%,7.7,7.1,6.4,73.55%,7.4,6.9,6.5,82.70%,8.3,7.5,6.0,1.3,0.3,1.0,0.9,4.1,3.6,4.7,4.4,4.2,3.1,1.7,2.3,3.5,0.2,0.7,0.01%,9.3,2.0,5.7,3.3,4.3,3.7,0.1,0.0,0.1,,
