COUNTRY,ISO3,INFORM RISK,RISK CLASS,Rank,Lack of Reliability (*),HAZARD & EXPOSURE,Natural,Earthquake,River Flood,Tsunami,Tropical Cyclone,Coastal flood,Drought,Epidemic,Human,Projected Conflict Probability,Current Conflict Intensity,VULNERABILITY,Socio-Economic Vulnerability,Development & Deprivation,Inequality,Economic Dependency,Vulnerable Groups,Uprooted people,Health Conditions,Children U5,Recent Shocks,Food Security,Other Vulnerable Groups,LACK OF COPING CAPACITY,Institutional,DRR,Governance,Infrastructure,Communication,Physical infrastructure,Access to health care,Number of Missing Indicators,% of Missing Indicators,Countries in HVC,Recentness data (average years)
China,CHN,2.9,Low,115,4,5.3,7.8,6.7,9.3,9,7.8,9,4.6,5.4,0.9,1.8,0,1.4,2.4,3.4,2.8,0,0.3,0,0.3,0.5,0.2,0.8,0.5,3.2,3.7,2.5,4.9,2.6,1.8,3.3,2.8,7,14%,,0.4
Colombia,COL,5.6,High,28,3,8,6.4,8.9,7,8.1,4,6.2,1.8,5.2,9,9.9,7.5,6.2,3.8,3.9,6.3,1.1,7.8,10,0.7,0.9,2.4,1.3,1.3,3.5,4.3,3,5.5,2.6,1.5,3.4,3,4,8%,YES,0.25
Comoros,COM,3.3,Medium,96,4.8,1.1,2,0.1,0,2,1.5,2.9,0,5.7,0.1,0.2,0,4.7,6.8,7.5,5.1,7,1.6,0,2.1,3.8,0,4.8,2.9,7,8,7.8,8.2,5.6,5.1,5.8,5.9,4,8%,,0.69
Congo,COG,4.4,Medium,51,3.8,2.1,3.4,0.1,7.6,0,0,2,0.9,7.4,0.6,1.2,0,5.6,5.7,6.9,6.8,2.1,5.5,6.2,6,3,1.3,7.1,4.8,7.4,7.8,x,7.8,7,5.8,8,7.1,1,2%,,0.67
Congo DR,COD,8,Very High,4,1.9,8.3,4.1,4.2,7,0,0,1,2.3,8.5,10,10,10,7.7,6.6,8.9,6.5,2,8.5,9.6,5.1,5.5,6.2,8.4,6.5,8,7.9,7.5,8.3,8,6.8,9.5,7.8,1,2%,YES,0.23
Costa Rica,CRI,3.2,Medium,99,2,3.1,5.3,9.1,2.4,8.3,1.3,4.1,1,4.9,0.1,0.1,0,4.2,2.2,1.5,4.4,1.3,5.8,8.3,0.3,0.6,1.6,2,1.1,2.5,3.1,1.5,4.7,1.8,1.2,1.9,2.4,4,8%,,0.17
Côte d'Ivoire,CIV,4.2,Medium,61,1.3,1.8,3.1,0.1,4.8,0.9,0,2.1,0.9,8.1,0.3,0.6,0,6.3,5.8,8.1,5.4,1.5,6.8,8.8,4.8,4.2,0,2,3,6.5,6.9,7.8,5.9,6.1,3.2,7.2,7.8,1,2%,,0.2
Croatia,HRV,2.4,Low,144,3.3,2.5,4.4,5.6,6.8,5.8,0,5,3.2,2.1,0.1,0.1,0,2,0.8,0.4,1.1,1.2,3.1,5,0.1,0.4,0.1,1.2,0.5,2.8,4.4,4.4,4.4,0.9,1.6,0.2,1,8,16%,,0.21
Cuba,CUB,2.6,Low,131,3.7,2.8,4.9,5,0.5,3.2,8,5.7,4,5,0.1,0.2,0,2,2.2,2.2,4,0.4,1.7,0,0.4,0.6,7.3,1.3,3.1,3,4.2,2.5,5.8,1.5,2.5,1.9,0.1,9,18%,,0.25
Cyprus,CYP,2.6,Low,131,3.4,1.6,3,6.9,0,4,0,2.9,2.6,2.4,0,0,0,4.3,0.7,0,2.5,0.3,6.6,9.2,0.1,0.3,0,2,0.6,2.5,4.1,x,4.1,0.5,0.9,0,0.7,9,18%,,0.2
