COUNTRY,ISO3,INFORM RISK,RISK CLASS,Rank,Lack of Reliability (*),HAZARD & EXPOSURE,Natural,Earthquake,River Flood,Tsunami,Tropical Cyclone,Coastal flood,Drought,Epidemic,Human,Projected Conflict Probability,Current Conflict Intensity,VULNERABILITY,Socio-Economic Vulnerability,Development & Deprivation,Inequality,Economic Dependency,Vulnerable Groups,Uprooted people,Health Conditions,Children U5,Recent Shocks,Food Security,Other Vulnerable Groups,LACK OF COPING CAPACITY,Institutional,DRR,Governance,Infrastructure,Communication,Physical infrastructure,Access to health care,Number of Missing Indicators,% of Missing Indicators,Countries in HVC,Recentness data (average years)
Kuwait,KWT,2.4,Low,144,3.2,1.4,2.4,0.1,3.7,0,0,5.2,2.9,3.6,0.2,0.3,0,2.8,1.2,1.1,2.7,0,4.2,6.7,0.1,0.7,0,0.6,0.4,3.4,5.1,x,5.1,1.1,0.5,1.6,1.3,11,22%,,0.05
Kyrgyzstan,KGZ,3.2,Medium,99,2.2,2.4,4.1,7.7,4.8,0,0,0,6.3,5,0.3,0.6,0,3.3,3.1,2.5,2.8,4.6,3.5,4.9,1.7,0.8,1.6,2.5,1.7,4.3,5.4,3.7,7.1,2.9,1.5,3.4,3.9,3,6%,,0.25
Lao PDR,LAO,3.4,Medium,92,2.3,2.1,3.6,2.8,8.2,0,1.4,0,1.4,6.2,0.2,0.3,0,3.4,5.1,6.7,4.8,2,1.2,0,1.6,3.9,0.8,2.4,2.3,5.6,6.4,6.1,6.7,4.7,3.3,4.7,6.2,3,6%,,0.28
Latvia,LVA,2.4,Low,144,2.4,1.3,2.4,0.1,6.6,0,0,3.6,2.5,1.2,0.1,0.1,0,4.2,0.9,0.4,2.1,0.5,6.4,9,0.6,0.2,0,1,0.5,2.5,3.8,x,3.8,1,1.3,0.7,0.9,8,16%,,0.05
Lebanon,LBN,5.5,High,32,4,5.1,3.7,8.2,0,3.9,0,3.2,2.9,3.7,6.3,6.5,6,7.1,4.6,3.5,3.3,8.2,8.6,10,0.1,1.1,10,2.5,5.4,4.7,6.3,4.7,7.8,2.5,2.6,0.5,4.5,8,16%,,0.35
Lesotho,LSO,3.7,Medium,79,2.1,1.2,2.1,0.1,2.1,0,0,0,6.5,3.2,0.1,0.1,0,6,6.5,7.4,6.2,4.9,5.5,1.2,7.3,4,10,7.6,7.9,6.9,7.5,8.4,6.5,6.1,5.2,6.3,6.8,2,4%,,0.29
Liberia,LBR,4.6,Medium,48,2.8,2.2,3.9,0.1,7.4,2.4,0,4.1,0.4,7.7,0.1,0.2,0,5.9,7.3,8.6,5.7,6.3,3.9,1.6,5.9,4,0.9,8.7,5.6,7.7,7.7,x,7.7,7.7,7.6,7.6,7.8,2,4%,,0.42
Libya,LBY,4.3,Medium,56,4.2,2.4,3.3,1.4,0.6,5.4,0,5.4,5,3,1.4,1.8,0.9,4.9,2.7,3.2,3.5,1,6.5,7.3,0.5,1.7,10,2.1,5.5,6.6,8.4,x,8.4,3.5,3.7,3.5,3.3,8,16%,,0.4
Liechtenstein,LIE,1,Very Low,190,7.1,0.8,1.6,5,3.6,0,0,0,0,1.2,0,0,0,0.9,0,0,x,0,1.8,3.1,x,x,0,0.4,0.2,1.4,2,x,2,0.7,1.4,0,x,28,55%,,0.59
Lithuania,LTU,1.9,Very Low,169,3,1.2,2.2,0.1,5.8,0,0,3.3,2.9,1.1,0.1,0.1,0,2.8,0.8,0.4,2.1,0.2,4.4,6.9,0.3,0.3,0,0.8,0.4,2.2,3.5,x,3.5,0.7,1.1,0.3,0.6,8,16%,,0.16
Luxembourg,LUX,1.1,Very Low,189,4.1,0.5,0.9,0.1,2.9,0,0,0,1.3,1.7,0.1,0.1,0,2.1,0.5,0,1.3,0.5,3.5,5.7,0.2,0.2,0,1.2,0.4,1.3,1.9,x,1.9,0.7,1.1,0.1,0.8,10,20%,,0.27
Madagascar,MDG,5.1,High,39,1.2,3.4,5.6,0.1,6.1,6.4,6.7,6.3,4.3,7.2,0.2,0.4,0,5.5,6.7,9.1,6.1,2.3,4.1,1.9,4.3,5.1,1.4,9,5.7,7.1,6,4.7,7.3,7.9,6.4,9.4,8,0,0%,,0.23
Malawi,MWI,4.3,Medium,56,0.7,2.1,3.8,6.2,4.7,0,0,0,5.7,6.4,0.1,0.2,0,6.2,6.4,8.3,5.6,3.4,6,4.9,5.6,3,10,4.5,6.9,6.2,5.4,4,6.7,6.9,7.3,6.5,6.9,0,0%,,0.13
Malaysia,MYS,2.9,Low,115,2.6,2.6,4.5,1.9,6.8,5.4,0,6.4,3.1,5.2,0.2,0.3,0,3.4,1.8,1.9,3.3,0,4.8,7.1,0.7,2,0.2,1.7,1.2,2.9,3.3,2.6,4,2.5,1.1,3,3.3,7,14%,,0.13
Maldives,MDV,2.2,Low,154,4.7,1.5,2.7,0.1,0,9,0,0,0,2.9,0.1,0.1,0,1.8,2.7,2.2,2.8,3.4,0.9,0,0.3,1.9,0,4.2,1.8,3.8,5.8,5.8,5.7,1.1,1.3,0,2.1,9,18%,,0.43
Mali,MLI,7,Very High,14,0.9,8.1,4.3,0.1,7.9,0,0,0,7.8,7,9.8,10,9.5,6.5,7,9.7,5.4,3,6,7.6,4.2,5.7,1.9,2.3,3.7,6.4,6.1,4.9,7.3,6.6,6.4,6,7.5,0,0%,YES,0.14
Malta,MLT,1.7,Very Low,177,3.4,0.9,1.7,0.1,0,5.9,0,0.7,0,3.1,0,0,0,2,0.5,0,1.6,0.2,3.3,5.3,0.2,0.4,0,1.4,0.5,2.5,4.2,x,4.2,0.5,1.4,0,0.1,9,18%,,0.18
Marshall Islands,MHL,3.9,Medium,75,8,2.5,4.4,0.1,0,6.8,1.8,8.5,4.6,3.8,0,0,0,4.4,4.3,3.4,2.6,7.8,4.5,0,7,2.4,10,5,7.2,5.2,5.9,7.3,4.5,4.4,3.7,1.7,7.8,15,29%,,1.02
Mauritania,MRT,4.8,Medium,45,1.8,3.3,4.8,0.4,6.1,1.1,0,4.4,9,6.2,1.5,0.7,2.2,5.5,5.9,8.4,4.9,2,5,7,1.3,4,0.2,1.9,2,6,5.8,4.8,6.7,6.2,5,6.4,7.1,1,2%,,0.29
Mauritius,MUS,2.2,Low,154,4.1,1.7,3,0.1,0,4.5,7.8,0,0.7,3.8,0.1,0.1,0,2.3,2.5,2.1,3.9,2,2,0,1,1.2,7.8,1.5,3.6,2.7,3.7,3.2,4.2,1.5,1.7,0.2,2.6,8,16%,,0.36
Mexico,MEX,5.5,High,32,2.1,8.8,6.4,8.2,7.9,5.5,7.1,6.3,3,5.1,10,10,10,4.2,3.1,3.5,4.7,0.5,5.1,7.6,0.8,1,0.4,0.9,0.8,4.4,5.7,5.1,6.3,2.8,2.1,3,3.4,4,8%,YES,0.12
Micronesia,FSM,3.4,Medium,92,8,1.7,3.2,0.1,0,5.9,2.3,3.1,6,2.7,0,0,0,4.6,5.4,5.3,3.8,7.2,3.8,0,2.3,1.9,10,5,6.3,5,5.1,6,4.2,4.8,5.6,2.6,6.1,17,33%,,0.85
Moldova Republic of,MDA,3.1,Low,103,4.2,1.8,3.3,6,4.6,0,0,0,5.2,4.3,0.1,0.1,0,4.1,3,2.4,1.2,6,5,7.4,1.1,0.8,0,2,1,4.2,6,6.2,5.7,1.7,1.9,1.1,2.1,6,12%,,0.49
Mongolia,MNG,2.9,Low,115,2.1,1.6,2.9,2.1,6.7,0,0,0,6.2,1.8,0.1,0.1,0,3.4,3.4,4.4,2.8,1.8,3.3,0,2.8,0.7,10,1.2,5.6,4.5,5.7,5.1,6.3,3,1.3,5.4,2.2,4,8%,,0.2
Montenegro,MNE,2.8,Low,123,2.5,1.8,3.2,5.5,1.3,6.1,0,3,2.1,2.4,0.1,0.1,0,4.1,2.4,1.9,1.9,4,5.4,8.1,0.2,0.5,0,0.4,0.3,3.1,4.7,4,5.3,1.1,0.4,0.7,2.3,5,10%,,0.22
Morocco,MAR,3.7,Medium,79,2.5,3.4,4.3,4.4,5,4.5,0,5,6.4,3.5,2.4,2.8,2,3.2,4,4.7,4.8,1.6,2.3,3.5,0.5,1,1.1,1,0.9,4.7,5.7,5.6,5.8,3.4,2.2,3.7,4.4,1,2%,,0.42
Mozambique,MOZ,6.9,Very High,16,1.2,7.2,5.1,3.4,6.1,3.8,2.7,5.6,6.3,6.8,8.6,9.6,7,7.4,7.4,9.2,6.4,4.8,7.4,7.9,8.2,4.3,7.6,6.7,6.9,6.2,4.6,2.1,7,7.4,7.6,8,6.6,1,2%,YES,0.13
Myanmar,MMR,7.2,Very High,11,3.5,9,7.2,8.2,8.8,8.3,5.8,8,0.9,6.6,10,10,10,6.2,4.9,7.2,3.9,1.1,7.3,9.4,3.8,3.7,0.1,2,2.5,6.6,7.7,7.1,8.2,5.1,3.8,5.3,6.3,3,6%,YES,0.37
Namibia,NAM,4,Medium,71,3.3,2.3,4.1,0.1,5.1,0,0,1.2,9.4,4.9,0.1,0.1,0,5.7,6,7.3,7.3,2,5.4,3.5,5,2.9,10,5.7,6.9,4.9,4.7,4.3,5,5.1,3.8,6.4,5.2,0,0%,,0.61
Nauru,NRU,2.6,Low,131,8,0.9,1.8,0.1,0,6,0,0,0,3.9,0,0,0,4,5,4.1,1.9,9.7,2.8,1.6,6.6,2,0,5,3.8,4.9,6.4,8.1,4.6,2.8,2.6,1.3,4.4,21,41%,,0.78
Nepal,NPL,4.1,Medium,65,2.5,3,5.1,9.8,6.9,0,0,0,3.1,6.5,0.2,0.3,0,4.2,5.4,6.5,4.3,4.2,2.8,3.7,2.4,3.1,0.6,1.5,1.9,5.3,6.1,5.4,6.7,4.4,3.7,4.2,5.3,3,6%,,0.32
Netherlands,NLD,2.2,Low,154,4.6,2.9,5,1.8,8.6,0,0,10,0.4,1.9,0.1,0.1,0,2.7,0.1,0,0.3,0.1,4.7,7.3,0.1,0.3,0,1.1,0.4,1.3,1.9,1.7,2,0.7,1.6,0.1,0.4,10,20%,,0.36
New Zealand,NZL,1.5,Very Low,183,3.1,2.1,3.8,6,3.7,5.4,1.8,4.4,1.8,2.4,0,0,0,0.9,0.3,0,1.1,0.1,1.5,2.4,0.1,0.4,0.2,0.9,0.4,1.9,2.3,2.6,1.9,1.5,1.6,2,0.9,11,22%,,0.03
Nicaragua,NIC,4.3,Medium,56,5.3,3.6,5.9,8.2,5,7.2,4.2,4.3,4,6.4,0.2,0.3,0,4.2,5.9,5.9,5.3,6.4,1.9,1.8,1,1.1,0,4.7,1.9,5.4,6.2,4.7,7.7,4.4,3.6,5.1,4.5,5,10%,,0.89
Niger,NER,7.3,Very High,9,2.2,7.2,3.8,0.1,6.6,0,0,0,7,7.3,9,9.8,7.8,7.3,7.5,10,5.1,4.8,7.1,8.3,3.5,8.4,4.6,3.4,5.4,7.4,5.9,5.2,6.6,8.4,8.2,9.7,7.4,1,2%,YES,0.28
Nigeria,NGA,6.8,High,17,1.5,8.5,4.8,0.1,8.2,0,0,6.5,3.1,8.3,10,10,10,6.2,5.6,7.7,5.8,1.1,6.8,8.1,5.3,6.2,2.4,4.6,4.8,6,5,2.7,7.3,6.8,5.1,6.3,9,1,2%,YES,0.17
North Macedonia,MKD,2.5,Low,136,3.4,1.7,3.1,6.5,4.2,0,0,0,3.7,4.7,0.1,0.1,0,2.5,2,1.7,2,2.5,3,4.9,0.1,0.3,0,1.6,0.5,3.6,4.7,3.8,5.5,2.2,1.9,1.7,2.9,4,8%,,0.44
Norway,NOR,1.8,Very Low,173,3.7,1.5,2.8,0.4,5.9,0,0,6.6,2.1,1.2,0,0,0,2.5,0.1,0,0.5,0,4.3,6.8,0.1,0.2,0,1.1,0.4,1.6,1.9,2.3,1.4,1.2,1.6,1.9,0.2,10,20%,,0.19
Oman,OMN,2.5,Low,136,2.7,2.8,4.8,0.1,2,9,3.8,5.6,3.4,5.1,0.1,0.1,0,1.4,1.7,1.6,3.6,0,1,1,0.1,1.7,0,1.7,0.9,4,5.4,x,5.4,2.3,1.1,3.4,2.5,8,16%,,0.11
Pakistan,PAK,6.4,High,20,3.6,8.7,7.5,9.2,9.5,6.1,7.1,4.4,4.9,7.9,9.5,10,8.7,5.8,5.3,7.9,4.1,1.1,6.2,7.7,1.7,4.9,3.4,5.4,4,5.3,5.4,4,6.7,5.2,5.5,4.7,5.3,4,8%,YES,0.34
Palau,PLW,2.2,Low,154,6.8,1.2,2.3,0.1,0,4.4,0.5,4.4,3.5,2.1,0,0,0,2.4,3.6,2.1,x,6.7,1,0,0.4,1.7,0,5,2,3.6,5,5.9,4.1,1.9,1.4,1.4,3,18,35%,,0.53
Palestine,PSE,5.9,High,25,6,7.9,1.6,4.7,0,0.9,0,0,0,4.3,10,10,10,6.2,3.8,2.5,2.2,7.9,7.8,10,0,0.8,0,3.2,1.1,4.2,6.3,5.7,6.8,1.3,2,0.1,1.7,14,27%,YES,0.21
Panama,PAN,3.6,Medium,86,2.9,3,5.1,7.8,0.2,8.5,0,5.9,1.2,5.7,0.1,0.2,0,3.8,2.3,1.6,5.6,0.5,5.1,7.6,0.8,0.8,0,1.3,0.7,4,5.1,4.3,5.9,2.6,1.7,3.7,2.3,6,12%,,0.24
Papua New Guinea,PNG,5.7,High,27,3.4,4,6.1,9.2,4.6,7.1,2.8,6.3,2.5,6.7,0.9,1.7,0,6,6.4,8,8.1,1.6,5.6,6.2,5.7,4.7,0.2,7.3,4.9,7.7,6.8,6.7,6.9,8.4,7.6,9.6,8,7,14%,,0.29
Paraguay,PRY,2.5,Low,136,2.9,1.4,2.5,0.1,5.6,0,0,0,3.9,5.2,0.1,0.2,0,2.8,3.5,4.1,5.4,0.5,2.1,3.1,1.2,0.8,0.3,1.4,0.9,4.1,5.2,3.7,6.7,2.8,1.8,3,3.6,5,10%,,0.3
Peru,PER,4.9,Medium,42,1.7,5.1,6.4,9.6,6.5,9.1,0,3.3,4.4,5.1,3.5,3.8,3.1,5.3,3.3,4.1,4.3,0.5,6.8,9.2,1,0.9,1,2.3,1.3,4.4,5,3.6,6.3,3.7,2,4.3,4.8,5,10%,,0.06
Philippines,PHL,5.4,High,35,2.1,8.4,8.3,9.7,6.7,9.4,9.2,8.9,3.7,6.6,8.5,9.5,6.9,4.7,3.7,4.5,4.6,1.3,5.6,5.9,3.9,2.9,8.9,1.8,5.2,4.1,4.7,3.5,5.8,3.4,2.1,2.6,5.6,3,6%,,0.16
Poland,POL,2.5,Low,136,4.1,1.5,2.8,0.8,5.9,0,0,5.7,2.8,2.2,0.1,0.1,0,3.6,0.6,0.4,1.2,0.3,5.8,8.5,0.1,0.3,0,0.9,0.3,2.9,4.5,4.3,4.6,1,1.2,0.7,1,8,16%,,0.38
Portugal,PRT,1.9,Very Low,169,3.2,1.8,3.2,3.4,3.8,4.3,0,4.6,3.3,2.2,0.1,0.1,0,2.1,0.7,0.5,1.7,0.1,3.3,5.5,0.4,0.2,0,0.5,0.3,1.9,3.1,2.6,3.5,0.6,1.6,0,0.1,7,14%,,0.26
Qatar,QAT,1.4,Very Low,186,4.6,1,1.9,0.1,0,0,0,3.5,5,2.9,0.1,0.1,0,1.1,1,0.5,2.8,0.1,1.1,1.7,0.3,0.4,0,1.2,0.5,2.5,4.1,4.7,3.5,0.6,0.5,0.2,1.1,11,22%,,0.32
Romania,ROU,2.5,Low,136,3.3,2,3.6,6.1,6.1,0,0,2.9,2.8,4.7,0.1,0.1,0,2.5,1.6,1.5,2.7,0.6,3.4,5.6,0.4,0.5,0,0.3,0.3,3.1,4.5,3.8,5.2,1.5,1.5,0.9,2,8,16%,,0.23
Russian Federation,RUS,5.1,High,39,5,7.5,5.2,4.2,8.4,4.2,2.2,5.3,6.1,3.2,8.9,10,6.6,3.6,1.5,1.6,2.6,0.1,5.2,7.8,0.4,0.4,0,0.8,0.4,4.8,6.9,x,6.9,1.7,0.7,3.6,0.7,11,22%,,0.2
Rwanda,RWA,3.5,Medium,89,0.8,1.6,2.8,4,2.7,0,0,0,4.4,6.2,0.3,0.6,0,5.7,6.1,8,5,3.4,5.3,6.5,3.1,2.3,0.2,7.6,3.9,4.8,3.8,3,4.6,5.7,5.6,5.6,5.8,0,0%,,0.16
Saint Kitts and Nevis,KNA,1.8,Very Low,173,6.7,1.6,2.9,3.6,0,0,8.6,0,0,2.7,0,0,0,1.3,1,1.2,x,0.6,1.6,1.3,0,1.2,0,5.1,1.9,2.9,4.1,4,4.2,1.6,2.1,0.3,2.4,22,43%,,0.5
Saint Lucia,LCA,2.7,Low,126,7.2,1.9,3.5,4.4,0,0,8,2.6,0.5,4.7,0,0,0,2.6,3.9,3.4,4.7,3.9,1,0,0,1,0.8,5.1,2,4.1,5.1,5.2,4.9,2.9,2.5,0.8,5.3,12,24%,,0.95
Saint Vincent and the Grenadines,VCT,2.4,Low,144,7.1,1.8,3.3,4.8,0,0,7.8,1.8,0.5,4.3,0,0,0,2.2,3.7,2.6,5.2,4.4,0.4,0,0.2,0.8,0.1,1.8,0.7,3.3,4.2,x,4.2,2.3,2.2,0.5,4.2,17,33%,,0.58
Samoa,WSM,3,Low,109,6.3,1.7,3.1,4.4,0,4.2,6.3,0,0.5,4.1,0,0,0,3.9,5.9,4.6,4.4,9.8,1.1,0,4.9,1,0,1.5,2.1,4,4.5,4.6,4.4,3.5,2.5,1.6,6.5,10,20%,,0.69
Sao Tome and Principe,STP,2.4,Low,144,2.7,0.7,1.4,0.1,0,0,0,2.1,0,5.8,0,0,0,3.8,5.7,6,5.3,5.6,1.2,0,2,1.2,0.1,4.9,2.2,5.4,6.1,x,6.1,4.5,3.6,4.6,5.3,1,2%,,0.45
Saudi Arabia,SAU,2.8,Low,123,2.6,3.4,3.5,1.8,4.8,0,0,4.7,5,5.8,3.2,3.6,2.7,2.1,1,0.5,3.1,0,3.1,5,0.1,0.7,0,1,0.5,3.1,4.3,x,4.3,1.8,1,3.4,0.9,9,18%,,0.03
Senegal,SEN,4.1,Medium,65,0.8,2.7,4.6,0.1,6.3,3.9,0,5.5,6.5,6.5,0.2,0.3,0,4.7,6.2,8.4,4.8,3.3,2.8,3.9,1.5,3,0,1.8,1.6,5.3,5.1,4.7,5.4,5.5,4.7,5.4,6.4,0,0%,,0.14
Serbia,SRB,2.9,Low,115,2.5,1.9,3.4,5.3,7.7,0,0,0,2.9,4,0.1,0.2,0,3.4,1.5,1,1.8,2,5,7.7,0.2,0.3,0.1,0.3,0.2,3.6,5.3,4.9,5.7,1.3,1.4,1.2,1.3,5,10%,,0.21
Seychelles,SYC,1.4,Very Low,186,5.3,1.2,2.2,0.1,0,7.8,0,0,0,2.8,0,0,0,0.9,1.5,1.9,1.8,0.2,0.3,0,0.2,1,0,0.9,0.5,2.7,3.8,4.3,3.3,1.4,0.8,0.8,2.5,8,16%,,0.59
Sierra Leone,SLE,4.2,Medium,61,1.2,2.1,3.8,0.1,5.8,2.9,0,4.7,0.9,7.9,0.1,0.1,0,5.6,6.9,9,5.5,4,3.8,2.1,6.2,5.3,0,7.1,5.1,6.3,5.2,3.5,6.9,7.2,7.2,7.8,6.7,0,0%,,0.23
Singapore,SGP,0.7,Very Low,191,3.7,0.6,1.2,0.1,0,0,0,2,0,4.8,0,0,0,0.5,0.1,0,0.5,0,0.9,1.1,0.5,0.2,0,2,0.7,1,1.2,1.2,1.2,0.7,0.8,0,1.3,12,24%,,0.08
Slovakia,SVK,2.1,Very Low,161,3.2,1.3,2.4,3.8,6.8,0,0,0,1.3,1.9,0.1,0.1,0,3,0.9,0.9,1.3,0.5,4.6,7,0.1,0.5,0,2.3,0.8,2.4,3.9,3.4,4.4,0.7,1.5,0.1,0.4,9,18%,,0.15
Slovenia,SVN,2,Very Low,164,3.3,1.7,3.2,5.9,5.5,3.5,0,3,0.9,1.7,0,0,0,2.8,0.2,0,0.4,0.2,4.8,4.3,0.1,0.2,10,1.7,5.2,1.7,2.3,0.9,3.7,1,1.6,0.1,1.3,11,22%,,0.07
Solomon Islands,SLB,4.5,Medium,50,5.1,3.2,5.4,7.1,0,7.8,3.6,6.8,2.9,5.8,0.1,0.1,0,4.6,6,6.8,3,7.2,2.8,1.7,5.4,2.5,1.5,5.2,3.8,6.3,6.3,6.6,6,6.2,5.2,7.8,5.6,9,18%,,0.51
Somalia,SOM,8.9,Very High,1,4.6,8.9,6.6,1.2,7.8,6.7,1.8,5.9,9.9,6.7,10,10,10,9.3,9.3,10,9,8,9.3,10,2.1,8.2,8.9,9.4,8,8.5,9,x,9,8,7.9,7.3,8.9,8,16%,YES,0.29
South Africa,ZAF,4,Medium,71,1.9,3.7,4,1.5,3.2,1,1.3,2.8,8.8,4.7,3.4,4.6,2,4.3,4.2,4.5,7.4,0.3,4.4,5.7,5.4,1.9,0.2,2.8,2.8,4.1,4.8,3.9,5.6,3.4,2,3.7,4.4,0,0%,,0.35
South Sudan,SSD,8.3,Very High,2,6.2,6.9,3.9,2.7,7.8,0,0,0,3.7,7.4,8.6,9.7,6.5,8.9,9.1,10,6.3,10,8.6,10,5.9,6.9,2.2,5.2,5.3,9.3,9.3,x,9.3,9.2,9.3,9.6,8.6,7,14%,,0.58
Spain,ESP,2.4,Low,144,3.4,2.5,4,2.9,6.4,4.6,0,4.9,4.8,2.5,0.6,0.3,0.9,3.1,0.4,0,1.5,0.1,5.1,7.7,0.2,0.2,0,1,0.4,1.8,2.9,2.2,3.6,0.5,1.2,0,0.3,9,18%,,0.18
Sri Lanka,LKA,2.9,Low,115,2.4,2.3,3.9,0.1,1.9,8,2.2,3.3,3.2,5.5,0.3,0.6,0,2.7,2.8,3.2,4.1,0.8,2.6,3.3,0.3,2.6,2.7,2,1.9,4.1,4.9,3.6,6.2,3.1,2.5,2.8,3.9,5,10%,,0.2
Sudan,SDN,7.4,Very High,8,3.8,8.3,4.2,0.1,8.6,0,0,0.8,6.3,6.5,10,10,10,7.4,6,8.5,4.8,2,8.4,10,1.5,5.7,6.2,3.2,4.4,6.7,6.6,4.9,8.2,6.8,6.1,8,6.4,0,0%,YES,0.56
Suriname,SUR,3.1,Low,103,2.7,1.8,3.3,0.1,8.6,0,0,1.5,1.3,5.4,0.1,0.1,0,3,3.6,4.1,4.5,1.7,2.4,3,1.1,1.4,0.4,3.5,1.7,5.3,6.5,x,6.5,3.7,1.8,3.7,5.5,6,12%,,0.21
Sweden,SWE,1.9,Very Low,169,3,1.4,2.6,0.1,6.3,0,0,5.8,1.3,1.7,0,0,0,2.9,0.2,0,0.8,0.1,5,7.6,0.1,0.2,0,1.5,0.5,1.6,2.2,2.5,1.9,0.9,1.4,1,0.3,12,24%,,-0.04
Switzerland,CHE,1.5,Very Low,183,3.1,1.3,2.3,4.6,5.9,0,0,0,0.9,2.2,0.1,0.1,0,2.9,0.4,0,1.2,0.2,4.8,7.4,0.1,0.3,0.1,1.2,0.4,0.9,1.2,0.9,1.4,0.6,1.5,0,0.3,11,22%,,0.03
Syria,SYR,7,Very High,14,6.3,8.3,5.2,7.3,6.3,2.3,0,2.1,7.8,6.3,9.8,10,9.5,7.7,6,6.9,3.5,6.7,8.9,10,0.5,2,10,8.2,6.9,5.4,6.6,4.6,8.6,4,3.7,2.8,5.6,6,12%,YES,0.65
Tajikistan,TJK,3.9,Medium,75,4.6,3.1,5,8.1,6.6,0,0,0,7.6,6.2,0.6,1.2,0,3.7,4.5,4.9,3,5,2.7,3.7,1.4,2,0,2.6,1.5,5.1,6,4.6,7.3,4.1,4,4.4,3.8,6,12%,,0.57
Tanzania,TZA,4.3,Medium,56,1.4,2.5,4.2,4.4,4.2,3.1,0.7,3.2,4.9,7.2,0.4,0.8,0,5.5,5.9,8.4,5.4,1.3,5.1,6.1,4.5,2.8,2.4,5.8,4,5.8,4.8,3.5,6,6.6,5.3,8.3,6.3,0,0%,,0.26
Thailand,THA,4.4,Medium,51,1.4,6.1,5.9,1.7,9.8,5.8,1.6,5.5,5.5,5.6,6.3,7.7,4.3,3.7,1.7,1.6,3.3,0.3,5.2,7.6,1.1,1.1,0.7,2.3,1.3,3.9,5.2,4.7,5.6,2.3,0.9,1.9,4,4,8%,,0.06
Timor-Leste,TLS,3.6,Medium,86,4.8,1.9,3.4,5.7,0,3.9,0.5,3.3,1.9,6.1,0.1,0.1,0,4.3,6,7.8,3.2,5.1,2,0,3.3,5.4,0,5.1,3.7,5.6,6.2,6.3,6.1,4.9,4.1,5.1,5.6,5,10%,,0.65
Togo,TGO,5.6,High,28,1.3,4.6,2.6,0.1,3,0,0,0.7,2.8,7.6,6.1,6.8,5.4,5.1,5.9,7.8,5.5,2.4,4.2,5.3,3.8,4,0.1,3.7,3,7.4,7.9,9.2,6.6,6.8,5.9,7.5,7.1,0,0%,,0.24
Tonga,TON,3.3,Medium,96,5.5,2.1,3.8,7.1,0,5.7,5.6,0,0.5,4.3,0,0,0,4.1,4.7,2.6,3.4,10,3.5,0,2,0.5,10,4.2,5.9,4.2,5.6,5.8,5.3,2.5,2.5,0.2,4.9,11,22%,,0.48
Trinidad and Tobago,TTO,2.8,Low,123,5.8,2,3.5,5.8,0,0,5.7,2.7,2.8,5.2,0.1,0.1,0,3.2,1.7,1.6,3.5,0.2,4.4,6.3,0.8,1.2,1.6,3.2,1.7,3.4,5,4.4,5.5,1.3,1.9,0.3,1.7,11,22%,,0.54
Tunisia,TUN,3.2,Medium,99,2,2.9,4.3,5.4,3.7,5.9,0,6.5,4.2,2.7,1.1,0.8,1.4,2.4,2.6,2.6,2.7,2.5,2.1,3.6,0.3,0.7,0,0.2,0.3,4.7,6.1,6.4,5.8,2.9,2.4,2.5,3.7,2,4%,,0.28
Türkiye,TUR,4.9,Medium,42,7,7.1,5.5,9.3,6,5,0,4.6,2.5,6,8.2,9.5,5.7,5.3,1.6,0.9,4.2,0.3,7.6,9.3,0.3,0.5,9.3,1.2,4.4,3.2,4.1,2.1,6,2.2,1.8,1.9,2.8,10,20%,,0.56
Turkmenistan,TKM,3.1,Low,103,4.8,2.6,4.4,3,8.3,0,0,4.3,5,5.7,0.2,0.4,0,1.8,1.5,1.7,2.4,0,2.1,3.1,0.3,1.9,0,1.8,1,6.1,7.8,x,7.8,3.5,4.4,3.2,2.9,8,16%,,0.51
Tuvalu,TUV,2.7,Low,126,7.4,1.3,2.4,0.1,0,5.8,0.2,0,4.3,3.8,0,0,0,3.6,4.8,4.2,3.5,7.2,2.2,0,7.7,1.1,0,4.2,4,4.4,5.6,x,5.6,2.9,3,0.6,5.1,16,31%,,0.64
Uganda,UGA,6.5,High,18,1.5,5.8,3.8,3.7,3.9,0,0,0,6.1,8,7.3,8.6,5.3,6.8,6.1,8.2,5.7,2.1,7.4,8.8,6.3,2.4,0.4,8.5,5.3,6.9,6.8,x,6.8,7,6.2,8.2,6.6,1,2%,,0.17
Ukraine,UKR,6,High,23,6.6,8.1,3.1,2,6.2,0,0,5,2.4,4.1,10,10,10,6,3.2,1.8,1.4,7.6,7.8,10,1.1,0.7,0,2.4,1.1,4.5,6.2,x,6.2,2.1,1.4,1.4,3.5,10,20%,YES,0.49
United Arab Emirates,ARE,1.6,Very Low,180,2.8,2.5,4.4,0.1,0.6,6,0.4,8.4,5,5.3,0.1,0.1,0,1,0.1,0,0.4,0,1.9,3.1,0.1,0.4,0,1.6,0.5,1.7,2.5,2.1,2.8,0.9,0.1,1.8,0.9,10,20%,,0.03
United Kingdom,GBR,2,Very Low,164,3.7,1.9,3.4,0.1,5.7,1.9,0,8.3,1.5,1.5,0.1,0.2,0,2.8,0.4,0,1.6,0,4.7,7.3,0.1,0.3,0,1,0.4,1.6,2.4,2.1,2.7,0.8,1.5,0,0.9,11,22%,,0.14
