,month,Precipitation,Mean Temp,Max Temp
2016,APR,13.05,17.52,23.61
2016,MAY,41.44,20.37,26.07
2016,JUN,4.53,24.98,31.38
2016,JUL,7.94,28.72,35.17
2016,AUG,10.7,28.56,34.92
2016,SEP,14.7,24.15,30.15
2016,OCT,27.94,20.63,26.36
2016,NOV,46.64,14.01,19.12
2016,DEC,44.04,10.67,15.72
2017,JAN,19.69,8.88,14.99
2017,FEB,40.56,12.57,18.05
2017,MAR,14.04,15.07,21.23
2017,APR,16.54,19.57,25.87
2017,MAY,7.68,22.91,29.09
2017,JUN,9.46,26.85,33.12
2017,JUL,2.81,28.47,35.08
2017,AUG,13.43,28.69,35.02
2017,SEP,5.65,24.73,31.11
2017,OCT,11.65,21.52,27.86
2017,NOV,12.45,15.67,22.52
2017,DEC,25.24,10.05,15.82
2018,JAN,45.79,10.15,15.5
2018,FEB,38.85,10.05,15.31
2018,MAR,62.4,14.34,19.53
2018,APR,46.66,16.25,21.56
2018,MAY,33.62,18.17,23.63
2018,JUN,4.46,22.75,28.79
2018,JUL,1.73,27.9,34.42
2018,AUG,19.07,26.9,33.2
2018,SEP,42.17,23.74,29.39
2018,OCT,65.25,18.77,23.87
2018,NOV,38.73,13.7,18.85
2018,DEC,2.67,12.52,19.54
2019,JAN,12.74,9.82,16.49
2019,FEB,10.94,12.45,19.19
2019,MAR,30.23,15.11,21.2
2019,APR,37.21,16.35,22.05
2019,MAY,8.95,22.55,29.05
2019,JUN,4.01,24.01,30.51
2019,JUL,4.67,27.17,33.53
2019,AUG,13.93,28.07,34.39
2019,SEP,17.52,24.32,30.73
2019,OCT,13.61,20.49,26.68
2019,NOV,26.62,14.45,19.97
2019,DEC,31.58,12.1,18.03
2020,JAN,12.73,9.8,16.31
2020,FEB,1.26,15.05,22.04
2020,MAR,40.42,15.02,20.77
2020,APR,37.97,17.33,22.76
2020,MAY,24.04,22,28.12
2020,JUN,6.54,24.4,30.59
2020,JUL,5.55,29.43,35.96
2020,AUG,8.28,28.57,35.07
2020,SEP,8.86,25.48,31.86
2020,OCT,16.97,19.6,25.85
2020,NOV,26.97,15.79,21.46
2020,DEC,23.25,11.69,17.15
