,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,HFA Scores,DRR,Corruption Perception Index,Government Effectiveness,Governance,INFORM Institutional,Adult literacy rate,Access to electricity,Internet users,Mobile cellular subscriptions,Communication,Road density,Road density,Sanitation,Drinking water,Physical Connectivity,Physicians Density,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3) (%),Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2) (%),Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3) (%),Immunization coverage,per capita public and private expenditure on health care,Maternal Mortality ratio,Access to health care Index,INFORM Infrastructure,
Botswana,BWA,5.6,5.6,4.1,4.1,4.1,4.9,2.7,2.4,2.7,1.8,2.4,7.1,9.4,2.2,1.5,4.4,9.1,2.2,3.7,5.3,3.7,6.5,2.1,5.4,4.1,
Brazil,BRA,4.3,4.3,6.4,6.2,6.3,5.3,1.1,0.0,1.9,5.2,2.1,10.6,9.0,1.0,0.1,3.4,4.6,3.7,6.9,3.1,4.6,4.7,0.8,3.7,3.1,
Brunei Darussalam,BRN,6.0,6.0,4.0,2.2,3.1,4.6,0.5,0.0,0.2,4.2,1.2,28.5,7.2,0.1,0.0,2.4,5.2,0.0,0.0,x,0.0,5.2,0.5,2.7,2.1,
Bulgaria,BGR,3.2,3.2,5.5,5.5,5.5,4.4,0.3,0.0,2.1,4.2,1.7,77.4,2.3,1.5,0.2,1.3,0.0,1.4,2.0,2.0,1.8,2.1,0.1,1.0,1.3,
Burkina Faso,BFA,3.2,3.2,5.9,6.7,6.3,4.8,9.7,8.1,7.8,4.5,7.5,15.0,8.6,8.4,10.0,9.0,9.8,1.4,4.7,1.4,2.5,9.7,2.9,6.2,7.6,
Burundi,BDI,4.6,4.6,8.0,7.5,7.8,6.2,4.7,9.0,9.4,7.3,7.6,23.4,7.7,6.0,7.5,7.1,9.8,1.4,2.4,1.4,1.7,9.9,5.5,6.7,7.1,
Cabo Verde,CPV,3.4,3.4,3.6,5.1,4.4,3.9,1.9,0.3,3.0,5.2,2.6,59.6,4.1,1.9,2.0,2.7,8.0,1.0,2.2,x,1.6,8.5,0.5,4.7,3.3,
Cambodia,KHM,6.8,6.8,7.8,5.7,6.8,6.8,3.3,0.8,4.0,4.3,3.1,18.7,8.2,2.6,4.4,5.1,9.5,2.4,5.1,2.5,3.3,8.9,2.4,6.0,4.7,
Cameroon,CMR,2.6,2.6,7.3,6.8,7.1,4.9,4.3,2.9,5.4,6.0,4.7,7.8,9.3,6.3,6.1,7.2,9.7,5.3,9.3,5.4,6.7,9.6,4.9,7.7,6.5,
Canada,CAN,3.0,3.0,2.4,1.9,2.2,2.6,x,0.0,0.7,5.6,2.1,13.2,8.8,0.2,0.2,3.1,3.8,1.2,3.4,2.4,2.3,0.0,0.1,1.6,2.3,
Central African Republic,CAF,x,x,7.6,8.4,8.0,8.0,9.4,8.4,8.9,8.5,8.8,4.8,9.6,9.6,10.0,9.7,9.8,9.7,x,10.0,9.9,9.9,9.3,9.7,9.4,
Chad,TCD,x,x,8.0,7.8,7.9,7.9,10.0,8.8,8.2,6.8,8.5,2.5,9.9,9.7,9.6,9.7,9.9,6.6,10.0,x,8.3,9.9,10.0,9.5,9.2,
Chile,CHL,3.2,3.2,3.4,3.9,3.7,3.5,0.6,0.0,1.0,3.3,1.2,20.2,8.1,0.0,0.0,2.7,2.6,0.5,7.8,1.0,3.1,0.8,0.2,1.7,1.9,
China,CHN,2.5,2.5,5.8,4.0,4.9,3.7,0.7,0.0,2.4,3.9,1.8,10.7,9.0,0.5,0.5,3.3,4.0,0.0,0.0,x,0.0,6.7,0.3,2.8,2.6,
Colombia,COL,3.0,3.0,6.0,5.0,5.5,4.3,0.9,0.0,2.7,2.3,1.5,10.8,9.0,0.6,0.5,3.4,4.1,2.0,2.5,2.4,2.3,4.9,0.8,3.0,2.6,
Comoros,COM,7.8,7.8,8.0,8.4,8.2,8.0,6.8,1.0,7.3,5.1,5.1,37.1,6.4,7.1,4.0,5.8,9.3,1.9,3.4,x,2.7,9.4,2.4,5.9,5.6,
Congo,COG,x,x,7.8,7.7,7.8,7.8,3.8,4.9,9.1,5.3,5.8,1.7,9.9,8.8,5.2,8.0,9.8,3.6,10.0,3.9,5.8,9.7,3.1,7.1,7.0,
Congo DR,COD,7.5,7.5,8.0,8.5,8.3,7.9,3.9,7.9,7.7,7.7,6.8,7.9,9.3,9.3,10.0,9.5,9.1,5.8,x,5.9,5.9,10.0,6.1,7.8,8.0,
Costa Rica,CRI,1.5,1.5,4.5,4.9,4.7,3.1,0.4,0.0,1.7,2.5,1.2,45.0,5.6,0.2,0.0,1.9,3.1,0.7,4.1,1.2,2.0,4.4,0.2,2.4,1.8,
